23.03. 17:12:07.990    ***Logfile for YR Mod client***
23.03. 17:12:07.992    Client version: 2.12.0.0
23.03. 17:12:07.992    Loading settings.
23.03. 17:12:08.030    Failed to load a translation file. Neither C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Resources\Translations\en\ThemeDefault\Translation.ini nor C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Resources\Translations\en\Translation.ini exist.
23.03. 17:12:08.030    Loaded translation: English
23.03. 17:12:08.242    Initializing updater.
23.03. 17:12:08.264    Updater: Initializing updater.
23.03. 17:12:08.277    Warning: No download mirrors found in updater config file or the built-in game info.
23.03. 17:12:08.278    Updater: Update mirror count: 0
23.03. 17:12:08.278    Updater: Running from: clientdx.exe
23.03. 17:12:08.279    OSDescription: Microsoft Windows 10.0.26100 
23.03. 17:12:08.279    OSArchitecture: X64
23.03. 17:12:08.280    ProcessArchitecture: X64
23.03. 17:12:08.280    FrameworkDescription: .NET Framework 4.8.9290.0
23.03. 17:12:08.280    Selected OS profile: WIN810
23.03. 17:12:08.280    Current culture: en-US
23.03. 17:12:09.421    Removing partial custom component downloads.
23.03. 17:12:09.422    Checking for the existence of FinalSun.ini.
23.03. 17:12:09.422    FinalSun settings file exists.
23.03. 17:12:09.440    Hardware info: AMD Ryzen 7 7735HS with Radeon Graphics (8 cores) | Video controller: AMD Radeon(TM) Graphics Video controller: NVIDIA GeForce RTX 4050 Laptop GPU | Total physical memory: 16GB
23.03. 17:12:09.454    Writing installation path to the Windows registry.
23.03. 17:12:09.470    Starting background processing of INI files.
23.03. 17:12:09.471    /INI/Base does not exist, skipping background processing of INI files.
23.03. 17:12:09.920    Initializing GameClass.
23.03. 17:12:10.178    InitGraphicsMode: 1280x720
23.03. 17:12:11.327    Loading maps from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\INI\MPMaps.ini.
23.03. 17:12:13.898    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.900    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.904    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.906    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.908    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.909    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.911    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.913    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.927    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.928    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:13.930    AssetLoader.LoadSound: Sound not found! MainMenu/button.wav
23.03. 17:12:14.505    Reading statistics.
23.03. 17:12:14.922    Attempting to parse INI/Battle.ini to populate mission list.
23.03. 17:12:14.938    Finished parsing INI/Battle.ini.
23.03. 17:12:14.964    C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Resources\CampaignTagSelector.ini: Base INI file not found! C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Resources\ThemeDefault\GenericWindow.ini
23.03. 17:12:15.489    AssetLoader.LoadSound: Sound not found! getready.wav
23.03. 17:12:15.588    AssetLoader.LoadSound: Sound not found! getready.wav
23.03. 17:12:15.588    AssetLoader.LoadSound: Sound not found! return.wav
23.03. 17:12:15.867    AssetLoader.LoadSound: Sound not found! getready.wav
23.03. 17:12:15.868    AssetLoader.LoadSound: Sound not found! return.wav
23.03. 17:12:15.887    AssetLoader.LoadSound: Sound not found! getready.wav
23.03. 17:12:39.056    Writing spawn.ini
23.03. 17:12:39.066    Writing map.
23.03. 17:12:39.067    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:12:39.119    About to launch main game executable.
23.03. 17:12:39.133    Writing settings INI.
23.03. 17:12:39.135    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:12:39.135    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:12:39.211    GameProcessLogic: Process started.
23.03. 17:12:39.228    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:13:30.312    GameProcessLogic: Process exited.
23.03. 17:13:30.492    GameProcessExited: Parsing statistics.
23.03. 17:13:30.492    Parsing game statistics.
23.03. 17:13:30.496    Attempting to read statistics from debug/debug.log
23.03. 17:13:30.496    GameProcessExited: Adding match to statistics.
23.03. 17:13:30.497    Skipping adding match to statistics because game only had one player.
23.03. 17:13:58.857    Writing spawn.ini
23.03. 17:13:58.859    Writing map.
23.03. 17:13:58.859    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:13:58.875    About to launch main game executable.
23.03. 17:13:58.879    Writing settings INI.
23.03. 17:13:58.880    Launch executable: C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\syringe.exe
23.03. 17:13:58.880    Launch arguments:  "gamemd.exe" -SPAWN -LOG -CD
23.03. 17:13:58.886    GameProcessLogic: Process started.
23.03. 17:13:58.902    Waiting for qres.dat or syringe.exe to exit.
23.03. 17:16:37.284    GameProcessLogic: Process exited.
23.03. 17:16:37.487    GameProcessExited: Parsing statistics.
23.03. 17:16:37.487    Parsing game statistics.
23.03. 17:16:37.489    Attempting to read statistics from debug/debug.log
23.03. 17:16:37.489    GameProcessExited: Adding match to statistics.
23.03. 17:16:37.489    Skipping adding match to statistics because game only had one player.
23.03. 17:17:37.092    Writing spawn.ini
23.03. 17:17:37.094    Writing map.
23.03. 17:17:37.094    Loading map INI from C:\Command and Conquer\Red Alert 2 and Yuri Revenge\Red Alert 2\Mod\Yuri Revenge Community Edition Redux\Maps\Standard\xgrinder.map
23.03. 17:17:37.104    About to launch main game executable.
23.03. 17:17:37.109    Writing settings INI.
